,Enzyme Common Name,,EnzymeId,BioCyn ID
10400,histone acetyltransferase activity,primary,1459,FBGN0020388-MONOMER
10401,DNA-(apurinic or apyrimidinic site) lyase activity,primary,1379,FBGN0000100-MONOMER
10402,zinc ion binding,primary,,FBGN0031991-MONOMER
10403,ORF,primary,,FBGN0058181-MONOMER
10404,aldehyde reductase activity,primary,610,FBGN0035476-MONOMER
10405,ORF,primary,,FBGN0037611-MONOMER
10406,ORF,primary,,FBGN0050081-MONOMER
10407,non-membrane spanning protein tyrosine kinase activity,primary,791,FBGN0028484-MONOMER
10408,ORF,primary,,FBGN0040367-MONOMER
10409,"ATPase activity, coupled",primary,641,FBGN0030276-MONOMER
10410,ORF,primary,,FBGN0053631-MONOMER
10411,DNA binding,primary,,FBGN0051875-MONOMER
10412,P-P-bond-hydrolysis-driven protein transmembrane transporter activity//protein transporter activity,primary,,FBGN0034510-MONOMER
10413,hydrogen ion transmembrane transporter activity,primary,,FBGN0033636-MONOMER
10414,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,,FBGN0004781-MONOMER
10415,ORF,primary,,FBGN0038377-MONOMER
10416,ORF,primary,,FBGN0038709-MONOMER
10417,ORF,primary,,FBGN0028470-MONOMER
10418,ORF,primary,,FBGN0259199-MONOMER
10419,ORF,primary,,FBGN0037884-MONOMER
10420,ORF,primary,,FBGN0034501-MONOMER
10421,N-acetylmuramoyl-L-alanine amidase activity,primary,853,FBGN0043578-MONOMER
10422,ORF,primary,,FBGN0034601-MONOMER
10423,xenobiotic-transporting ATPase activity,primary,917,FBGN0032018-MONOMER
10424,ORF,primary,,FBGN0030563-MONOMER
10425,ORF,primary,,FBGN0086475-MONOMER
10426,sodium channel activity,primary,,FBGN0024319-MONOMER
10427,ORF,primary,,FBGN0037169-MONOMER
10428,sequence-specific DNA binding//protein heterodimerization activity//transcription factor activity//protein dimerization activity,primary,,FBGN0036126-MONOMER
10429,structural constituent of ribosome//RNA binding,primary,,FBGN0036335-MONOMER
10430,S-formylglutathione hydrolase,primary,1139,FBGN0038771-MONOMER
10431,ORF,primary,,FBGN0085319-MONOMER
10432,ORF,primary,,FBGN0036358-MONOMER
10433,protein binding//phosphoinositide binding,primary,,FBGN0032005-MONOMER
10434,protein phosphatase inhibitor activity,primary,,FBGN0039943-MONOMER
10435,catalytic activity,primary,,FBGN0035206-MONOMER
10436,olfactory receptor activity//odorant binding//protein binding,primary,,FBGN0026389-MONOMER
10437,ORF,primary,,FBGN0030536-MONOMER
10438,mRNA 3'-UTR binding,primary,,FBGN0043867-MONOMER
10439,DNA binding,primary,,FBGN0053825-MONOMER
10440,nicotinic acetylcholine-activated cation-selective channel activity//neurotransmitter receptor activity,primary,,FBGN0032151-MONOMER
10441,protein kinase activity,primary,1477,FBGN0037327-MONOMER
10442,protein binding//phosphoinositide binding,primary,,FBGN0038065-MONOMER
10443,ORF,primary,,FBGN0037181-MONOMER
10444,sulfonylurea receptor binding,primary,,FBGN0061515-MONOMER
10445,ORF,primary,,FBGN0052676-MONOMER
10446,ORF,primary,,FBGN0053721-MONOMER
10447,N-acetylneuraminic acid phosphate synthase activity,primary,1303,FBGN0038045-MONOMER
10448,procollagen-proline 4-dioxygenase activity,primary,833,FBGN0042182-MONOMER
10449,carbonate dehydratase activity,primary,168,FBGN0039235-MONOMER
10450,GTPase activity,primary,1171,FBGN0028433-MONOMER
10451,heat shock protein binding,primary,,FBGN0032586-MONOMER
10452,DNA-dependent ATPase activity,primary,641,FBGN0003482-MONOMER
10453,flavin-containing monooxygenase activity,primary,934,FBGN0034943-MONOMER
10454,glycogen (starch) synthase activity,primary,432,FBGN0022803-MONOMER
10455,ORF,primary,,FBGN0052441-MONOMER
10456,ORF,primary,,FBGN0032084-MONOMER
10457,G-protein coupled receptor activity//neuropeptide receptor activity//rhodopsin-like receptor activity,primary,,FBGN0053696-MONOMER
10458,binding//galactose binding,primary,,FBGN0053533-MONOMER
10459,protein binding,primary,,FBGN0034151-MONOMER
10460,ORF,primary,,FBGN0032452-MONOMER
10461,ORF,primary,,FBGN0039098-MONOMER
10462,ORF,primary,,FBGN0031538-MONOMER
10463,DNA binding,primary,,FBGN0053833-MONOMER
10464,ORF,primary,,FBGN0037562-MONOMER
10465,ORF,primary,,FBGN0037156-MONOMER
10466,GTPase activity,primary,1171,FBGN0015794-MONOMER
10467,glycine hydroxymethyltransferase activity,primary,1050,FBGN0029823-MONOMER
10468,sphingomyelin phosphodiesterase activity,primary,1263,FBGN0039769-MONOMER
10469,structural constituent of ribosome,primary,,FBGN0034743-MONOMER
10470,dopamine receptor activity,primary,,FBGN0015741-MONOMER
10471,ATPase activity,primary,641,FBGN0028685-MONOMER
10472,helicase activity//ATP binding//nucleic acid binding,primary,,FBGN0005410-MONOMER
10473,ORF,primary,,FBGN0028424-MONOMER
10474,helicase activity//transporter activity//ATP binding//nucleic acid binding,primary,,FBGN0028887-MONOMER
10475,ORF,primary,,FBGN0037826-MONOMER
10476,ORF,primary,,FBGN0052069-MONOMER
10477,histone acetyltransferase activity,primary,1459,FBGN0032321-MONOMER
10478,ORF,primary,,FBGN0050417-MONOMER
10479,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0000363-MONOMER
10480,transcription regulator activity//DNA binding//protein binding//zinc ion binding,primary,,FBGN0003567-MONOMER
10481,transporter activity//cytoskeletal protein binding//structural constituent of muscle//protein binding,primary,,FBGN0037130-MONOMER
10482,binding//iron ion transmembrane transporter activity//transmembrane transporter activity,primary,,FBGN0039561-MONOMER
10483,ORF,primary,,FBGN0039711-MONOMER
10484,ORF,primary,,FBGN0035714-MONOMER
10485,ORF,primary,,FBGN0036091-MONOMER
10486,transcription factor activity,primary,,FBGN0005511-MONOMER
10487,ORF,primary,,FBGN0030004-MONOMER
10488,ORF,primary,,FBGN0046763-MONOMER
10489,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0035048-MONOMER
10490,RNA-directed DNA polymerase activity,primary,1381,FBGN0044342-MONOMER
10491,intracellular cGMP activated cation channel activity,primary,,FBGN0015720-MONOMER
10492,protein kinase CK2 regulator activity,primary,,FBGN0003523-MONOMER
10493,dopachrome isomerase activity,primary,691,FBGN0041710-MONOMER
10494,protein tyrosine phosphatase activity,primary,1490,FBGN0043903-MONOMER
10495,acetyl-CoA C-acetyltransferase activity,primary,519,FBGN0029969-MONOMER
10496,small conjugating protein ligase activity,primary,1480,FBGN0011241-MONOMER
10497,1-phosphatidylinositol-4-phosphate 5-kinase activity,primary,702,FBGN0034789-MONOMER
10498,translation initiation factor activity//enzyme regulator activity,primary,,FBGN0039726-MONOMER
10499,ATPase activity,primary,641,FBGN0086706-MONOMER
10500,acetate-CoA ligase activity,primary,508,FBGN0012034-MONOMER
10501,DNA binding//protein binding,primary,,FBGN0053291-MONOMER
10502,ORF,primary,,FBGN0085245-MONOMER
10503,ORF,primary,,FBGN0038881-MONOMER
10504,ORF,primary,,FBGN0020280-MONOMER
10505,nucleotide binding,primary,,FBGN0037276-MONOMER
10506,ORF,primary,,FBGN0058211-MONOMER
10507,nucleic acid binding,primary,,FBGN0031764-MONOMER
10508,ORF,primary,,FBGN0039030-MONOMER
10509,ORF,primary,,FBGN0053477-MONOMER
10510,ORF,primary,,FBGN0069922-MONOMER
10511,palmitoyl-(protein) hydrolase activity,primary,1496,FBGN0030057-MONOMER
10512,protein serine/threonine kinase activity,primary,1468,FBGN0011817-MONOMER
10513,ORF,primary,,FBGN0039346-MONOMER
10514,phosphoserine phosphatase activity,primary,1178,FBGN0023129-MONOMER
10515,ORF,primary,,FBGN0021979-MONOMER
10516,protein binding,primary,,FBGN0031118-MONOMER
10517,ORF,primary,,FBGN0028942-MONOMER
10518,ATP binding//transcription factor activity//aminoacyl-tRNA ligase activity,primary,,FBGN0005613-MONOMER
10519,"hydrogen-exporting ATPase activity, phosphorylative mechanism",primary,1338,FBGN0026753-MONOMER
10520,ORF,primary,,FBGN0034253-MONOMER
10521,DNA binding//protein binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,,FBGN0039044-MONOMER
10522,GTP binding//calcium ion binding,primary,,FBGN0039140-MONOMER
10523,DNA binding,primary,,FBGN0034599-MONOMER
10524,NAD+ kinase activity,primary,1181,FBGN0053156-MONOMER
10525,ORF,primary,,FBGN0034495-MONOMER
10526,ORF,primary,,FBGN0028899-MONOMER
10527,structural constituent of ribosome,primary,,FBGN0010265-MONOMER
10528,ORF,primary,,FBGN0051700-MONOMER
10529,ORF,primary,,FBGN0085280-MONOMER
10530,bile acid:sodium symporter activity,primary,,FBGN0030756-MONOMER
10531,ORF,primary,,FBGN0037889-MONOMER
10532,ORF,primary,,FBGN0038676-MONOMER
10533,DNA binding//specific RNA polymerase II transcription factor activity,primary,,FBGN0005427-MONOMER
10534,binding,primary,,FBGN0040236-MONOMER
10535,GTPase activity,primary,1171,FBGN0038916-MONOMER
10536,biliverdin reductase activity,primary,1243,FBGN0037749-MONOMER
10537,ORF,primary,,FBGN0032734-MONOMER
10538,translation initiation factor activity//RNA binding,primary,,FBGN0051957-MONOMER
10539,ubiquitin-protein ligase activity,primary,1480,FBGN0032208-MONOMER
10540,structural constituent of pupal chitin-based cuticle//structural constituent of chitin-based cuticle,primary,,FBGN0000551-MONOMER
10541,gamma-tubulin binding,primary,,FBGN0026433-MONOMER
10542,ORF,primary,,FBGN0035254-MONOMER
10543,ORF,primary,,FBGN0037405-MONOMER
10544,ARF guanyl-nucleotide exchange factor activity//guanyl-nucleotide exchange factor activity,primary,,FBGN0026179-MONOMER
10545,cathepsin E activity,primary,1309,FBGN0011822-MONOMER
10546,ORF,primary,,FBGN0029731-MONOMER
10547,ORF,primary,,FBGN0033405-MONOMER
10548,growth factor activity,primary,,FBGN0052183-MONOMER
10549,binding,primary,,FBGN0036306-MONOMER
10550,ORF,primary,,FBGN0259727-MONOMER
10551,fatty-acid synthase activity,primary,264,FBGN0027571-MONOMER
10552,sodium channel activity,primary,,FBGN0039424-MONOMER
10553,ORF,primary,,FBGN0052756-MONOMER
10554,ORF,primary,,FBGN0085696-MONOMER
10555,ORF,primary,,FBGN0033287-MONOMER
10556,calcium-transporting ATPase activity,primary,500,FBGN0004551-MONOMER
10557,ribonuclease H activity,primary,1381,FBGN0043053-MONOMER
10558,ORF,primary,,FBGN0051007-MONOMER
10559,sodium-dependent multivitamin transmembrane transporter activity,primary,,FBGN0034494-MONOMER
10560,trypsin activity,primary,823,FBGN0037222-MONOMER
10561,P-P-bond-hydrolysis-driven protein transmembrane transporter activity//transmembrane transporter activity,primary,,FBGN0037828-MONOMER
10562,"oxidoreductase activity, acting on the CH-CH group of donors",primary,,FBGN0035914-MONOMER
10563,ORF,primary,,FBGN0086898-MONOMER
10564,ORF,primary,,FBGN0039528-MONOMER
10565,kinesin binding,primary,,FBGN0040395-MONOMER
10566,N-acetylgalactosamine-4-sulfatase activity,primary,979,FBGN0033763-MONOMER
10567,ORF,primary,,FBGN0033741-MONOMER
10568,ORF,primary,,FBGN0032656-MONOMER
10569,ORF,primary,,FBGN0038697-MONOMER
10570,translation initiation factor activity,primary,,FBGN0034258-MONOMER
10571,phosphoglycerate dehydrogenase activity,primary,926,FBGN0032350-MONOMER
10572,serine-type endopeptidase inhibitor activity,primary,,FBGN0033112-MONOMER
10573,ORF,primary,,FBGN0034671-MONOMER
10574,ORF,primary,,FBGN0032498-MONOMER
10575,phosphopantetheinyltransferase activity,primary,1528,FBGN0052099-MONOMER
10576,ORF,primary,,FBGN0032429-MONOMER
10577,ORF,primary,,FBGN0034647-MONOMER
10578,ORF,primary,,FBGN0038914-MONOMER
10579,nicotinic acetylcholine-activated cation-selective channel activity//neurotransmitter receptor activity,primary,,FBGN0037212-MONOMER
10580,zinc ion binding,primary,,FBGN0030455-MONOMER
10581,structural constituent of cytoskeleton//cytoskeletal protein binding//protein binding,primary,,FBGN0011747-MONOMER
10582,ORF,primary,,FBGN0038153-MONOMER
10583,ORF,primary,,FBGN0029702-MONOMER
10584,ribonuclease activity,primary,,FBGN0022246-MONOMER
10585,ORF,primary,,FBGN0053767-MONOMER
10586,"3',5'-cyclic-GMP phosphodiesterase activity",primary,667,FBGN0032059-MONOMER
10587,ORF,primary,,FBGN0035998-MONOMER
10588,"transferase activity, transferring groups other than amino-acyl groups",primary,,FBGN0038873-MONOMER
10589,ORF,primary,,FBGN0034294-MONOMER
10590,ORF,primary,,FBGN0053911-MONOMER
10591,zinc ion binding,primary,,FBGN0085430-MONOMER
10592,thioredoxin peroxidase activity,primary,1531,FBGN0036490-MONOMER
10593,chitin binding,primary,,FBGN0035607-MONOMER
10594,serine-type peptidase activity,primary,,FBGN0038701-MONOMER
10595,ORF,primary,,FBGN0040666-MONOMER
10596,ORF,primary,,FBGN0034550-MONOMER
10597,ORF,primary,,FBGN0037126-MONOMER
10598,peptide-O-fucosyltransferase activity,primary,947,FBGN0027791-MONOMER
10599,electron carrier activity,primary,,FBGN0029752-MONOMER
10600,ORF,primary,,FBGN0052602-MONOMER
10601,ORF,primary,,FBGN0004414-MONOMER
10602,lysozyme activity,primary,249,FBGN0004426-MONOMER
10603,ORF,primary,,FBGN0034172-MONOMER
10604,protein kinase CK2 regulator activity,primary,,FBGN0053236-MONOMER
10605,ORF,primary,,FBGN0051856-MONOMER
10606,cytidylate kinase activity,primary,841,FBGN0028833-MONOMER
10607,DNA binding//specific RNA polymerase II transcription factor activity//RNA polymerase II transcription factor activity//transcription factor binding//RNA polymerase III transcription factor activity//general RNA polymerase II transcription factor activity,primary,,FBGN0010287-MONOMER
10608,ORF,primary,,FBGN0085566-MONOMER
10609,ORF,primary,,FBGN0036638-MONOMER
10610,nucleic acid binding,primary,,FBGN0003891-MONOMER
10611,ORF,primary,,FBGN0058121-MONOMER
10612,ORF,primary,,FBGN0053200-MONOMER
10613,Rho GDP-dissociation inhibitor activity,primary,,FBGN0036921-MONOMER
10614,ORF,primary,,FBGN0051900-MONOMER
10615,neurotransmitter receptor activity//GABA-A receptor activity//extracellular-glutamate-gated chloride channel activity,primary,,FBGN0024963-MONOMER
10616,protein binding//cyclin-dependent protein kinase regulator activity,primary,,FBGN0015625-MONOMER
10617,cation binding//catalytic activity,primary,,FBGN0050359-MONOMER
10618,zinc ion binding,primary,,FBGN0033815-MONOMER
10619,"ATPase activity, coupled",primary,641,FBGN0027329-MONOMER
10620,ORF,primary,,FBGN0030441-MONOMER
10621,ORF,primary,,FBGN0039440-MONOMER
10622,ORF,primary,,FBGN0032215-MONOMER
10623,ORF,primary,,FBGN0029818-MONOMER
10624,extracellular-glutamate-gated ion channel activity//kainate selective glutamate receptor activity,primary,,FBGN0038840-MONOMER
10625,retinoid binding,primary,,FBGN0026377-MONOMER
10626,phosphatidylethanolamine binding,primary,,FBGN0050060-MONOMER
10627,ORF,primary,,FBGN0034153-MONOMER
10628,enzyme inhibitor activity//diazepam binding//acyl-CoA binding,primary,,FBGN0035743-MONOMER
10629,zinc ion binding//nucleic acid binding,primary,,FBGN0038244-MONOMER
10630,ORF,primary,,FBGN0041723-MONOMER
10631,glutathione synthase activity,primary,1011,FBGN0052495-MONOMER
10632,structural molecule activity//heat shock protein binding//zinc ion binding//nucleic acid binding,primary,,FBGN0027599-MONOMER
10633,zinc ion binding//nucleic acid binding,primary,,FBGN0039808-MONOMER
10634,ORF,primary,,FBGN0039308-MONOMER
10635,ORF,primary,,FBGN0085249-MONOMER
10636,ORF,primary,,FBGN0033165-MONOMER
10637,ORF,primary,,FBGN0036656-MONOMER
10638,ORF,primary,,FBGN0085323-MONOMER
10639,NADH dehydrogenase (ubiquinone) activity,primary,32,FBGN0013683-MONOMER
10640,ORF,primary,,FBGN0085706-MONOMER
10641,ORF,primary,,FBGN0035770-MONOMER
10642,nucleotide binding//mRNA binding//RNA binding//zinc ion binding,primary,,FBGN0031628-MONOMER
10643,ORF,primary,,FBGN0052353-MONOMER
10644,protein serine/threonine kinase activity,primary,1451,FBGN0025458-MONOMER
10645,methylenetetrahydrofolate dehydrogenase (NADP+) activity,primary,1015,FBGN0010222-MONOMER
10646,transmembrane receptor activity//calcium ion binding,primary,,FBGN0035798-MONOMER
10647,cysteine-tRNA ligase activity,primary,1431,FBGN0033900-MONOMER
10648,calcium-dependent phospholipid binding,primary,,FBGN0259235-MONOMER
10649,glycerol-3-phosphate transmembrane transporter activity,primary,,FBGN0034611-MONOMER
10650,protein binding//Rab guanyl-nucleotide exchange factor activity,primary,,FBGN0030613-MONOMER
10651,N-acetylmuramoyl-L-alanine amidase activity,primary,853,FBGN0035806-MONOMER
10652,endopeptidase inhibitor activity,primary,,FBGN0052354-MONOMER
10653,ORF,primary,,FBGN0030935-MONOMER
10654,zinc ion binding,primary,,FBGN0039489-MONOMER
10655,ORF,primary,,FBGN0036960-MONOMER
10656,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0033696-MONOMER
10657,galactose binding//fucose binding//mannose binding,primary,,FBGN0040102-MONOMER
10658,furin activity,primary,945,FBGN0004509-MONOMER
10659,ORF,primary,,FBGN0033973-MONOMER
10660,ORF,primary,,FBGN0085545-MONOMER
10661,acyltransferase activity,primary,,FBGN0040228-MONOMER
10662,ORF,primary,,FBGN0051292-MONOMER
10663,ORF,primary,,FBGN0040827-MONOMER
10664,ORF,primary,,FBGN0053774-MONOMER
10665,ORF,primary,,FBGN0038123-MONOMER
10666,transmembrane receptor activity//non-G-protein coupled 7TM receptor activity//G-protein coupled receptor activity//Wnt-protein binding//Wnt receptor activity,primary,,FBGN0027342-MONOMER
10667,ORF,primary,,FBGN0085579-MONOMER
10668,ORF,primary,,FBGN0033513-MONOMER
10669,ORF,primary,,FBGN0035750-MONOMER
10670,mRNA 3'-UTR binding//nucleotide binding//protein binding//mRNA binding//poly(A) binding,primary,,FBGN0003031-MONOMER
10671,ORF,primary,,FBGN0035708-MONOMER
10672,catalytic activity,primary,,FBGN0052985-MONOMER
10673,ORF,primary,,FBGN0032483-MONOMER
10674,ORF,primary,,FBGN0028918-MONOMER
10675,sequence-specific DNA binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,,FBGN0021738-MONOMER
10676,heat shock protein binding,primary,,FBGN0015477-MONOMER
10677,DNA binding,primary,,FBGN0053835-MONOMER
10678,protein binding//zinc ion binding,primary,,FBGN0039150-MONOMER
10679,receptor activity,primary,,FBGN0037671-MONOMER
10680,transcription cofactor activity//RNA polymerase II transcription mediator activity,primary,,FBGN0037359-MONOMER
10681,ORF,primary,,FBGN0031054-MONOMER
10682,RNA polymerase II transcription mediator activity//transcription coactivator activity,primary,,FBGN0040020-MONOMER
10683,phosphoinositide 3-kinase regulator activity,primary,686,FBGN0020622-MONOMER
10684,ORF,primary,,FBGN0039328-MONOMER
10685,acyl-CoA dehydrogenase activity,primary,1038,FBGN0029924-MONOMER
10686,RNA binding,primary,,FBGN0031401-MONOMER
10687,transmembrane receptor protein tyrosine kinase activity,primary,1066,FBGN0003366-MONOMER
